set	NGenes	Direction	PValue	FDR	decile	median_len	n_genes	signed_logp
len_dec_01	1392	Down	0.002235688730808384	0.02235688730808384	1	1312	1392	2.650588662280437
len_dec_02	1392	Down	0.2042534746333405	0.8490963256504532	2	2051	1392	0.6898305467845254
len_dec_03	1392	Down	0.7641866930854079	0.8490963256504532	3	2626.5	1392	0.11680052902643047
len_dec_04	1392	Down	0.8732553051595822	0.8732553051595822	4	3200	1392	0.058858767276879
len_dec_05	1392	Up	0.6599635018058686	0.8490963256504532	5	3772	1392	-0.18048008173481064
len_dec_06	1391	Up	0.5838721336792747	0.8490963256504532	6	4386	1391	-0.23368225171928375
len_dec_07	1391	Up	0.4723486511819076	0.8490963256504532	7	5032	1391	-0.32573732045827974
len_dec_08	1391	Up	0.7053077858281334	0.8490963256504532	8	5861	1391	-0.15162132199187608
len_dec_09	1391	Up	0.4254623522714388	0.8490963256504532	9	7149	1391	-0.37113886313317956
len_dec_10	1391	Up	0.3576657540180458	0.8490963256504532	10	10050	1391	-0.4465226409329257
