category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:0071944	2.7867688152437594e-57	1	466	4490	cell periphery	CC	5.881754261453478e-53
GO:0005886	2.1291016031779418e-47	1	422	4122	plasma membrane	CC	2.246840921833682e-43
GO:0008544	1.3974410739400758e-41	1	93	304	epidermis development	BP	9.831463768859745e-38
GO:0005576	3.457278040521427e-41	1	348	2990	extracellular region	CC	1.824232758081131e-37
GO:0001533	2.87571440764688e-38	1	40	49	cornified envelope	CC	1.2138965657559008e-34
GO:0043588	1.2401024061072142e-36	1	80	257	skin development	BP	4.3622668972164765e-33
GO:0031424	2.4637842709494388e-30	1	33	41	keratinization	BP	7.428661546094123e-27
GO:0030216	4.506324536154252e-30	1	52	124	keratinocyte differentiation	BP	1.1888810707508956e-26
GO:0009913	2.8802357116630085e-28	1	59	180	epidermal cell differentiation	BP	6.754472770039941e-25
GO:0005615	4.509308780359825e-28	1	275	2426	extracellular space	CC	9.517347111827445e-25
GO:0006955	4.9690422443945567e-26	1	192	1500	immune response	BP	9.534236873653774e-23
GO:0032501	8.060636450460896e-23	1	451	5586	multicellular organismal process	BP	1.4177316076952306e-19
GO:0009888	4.522584454106263e-22	1	190	1681	tissue development	BP	7.342589806797445e-19
GO:0009986	1.6307668642526555e-21	1	110	734	cell surface	CC	2.458497531208325e-18
GO:0002376	2.416660998427943e-21	1	232	2180	immune system process	BP	3.4004031355213443e-18
GO:0098552	4.8843849735398266e-21	1	97	595	side of membrane	CC	6.443114328220724e-18
GO:0009897	4.5946043143713335e-20	1	67	323	external side of plasma membrane	CC	5.704336391713021e-17
GO:0030280	5.621408342791692e-20	1	23	31	structural constituent of skin epidermis	MF	6.591413582386749e-17
GO:0060429	9.639909218773672e-20	1	132	1025	epithelium development	BP	1.070841705112827e-16
GO:0007155	1.270129207145991e-19	1	153	1321	cell adhesion	BP	1.3403673523011642e-16
GO:0001775	3.870953011190718e-18	1	128	997	cell activation	BP	3.890492107342442e-15
GO:0045321	5.550465331385479e-18	1	117	869	leukocyte activation	BP	5.3249146038282686e-15
