category	term	goseq_p	goseq_padj	hyper_p	hyper_padj
GO:0008544	epidermis development	1.3974410739400758e-41	9.831463768859745e-38	1.3481624660158913e-42	1.9475554984065565e-38
GO:0043588	skin development	1.2401024061072142e-36	4.3622668972164765e-33	2.789002440161788e-37	2.0144964625288594e-33
GO:0031424	keratinization	2.4637842709494388e-30	7.428661546094123e-27	6.447997256202753e-34	3.1049256121034986e-30
GO:0030216	keratinocyte differentiation	4.506324536154252e-30	1.1888810707508956e-26	8.321309991700184e-32	3.0052411035025216e-28
GO:0009913	epidermal cell differentiation	2.8802357116630085e-28	6.754472770039941e-25	4.85861458666627e-29	1.4037509263796188e-25
GO:0006955	immune response	4.9690422443945567e-26	9.534236873653774e-23	1.691790482190959e-27	4.073267550955099e-24
GO:0032501	multicellular organismal process	8.060636450460896e-23	1.4177316076952306e-19	3.564314794602082e-20	5.72112128031352e-17
GO:0009888	tissue development	4.522584454106263e-22	7.342589806797445e-19	1.280924122281549e-20	2.313028733809907e-17
GO:0002376	immune system process	2.416660998427943e-21	3.4004031355213443e-18	4.282214834110428e-22	8.83726792765132e-19
GO:0060429	epithelium development	9.639909218773672e-20	1.070841705112827e-16	8.727183719727477e-19	1.2607289601518311e-15
GO:0007155	cell adhesion	1.270129207145991e-19	1.3403673523011642e-16	2.1982761220193203e-17	1.9847685536681936e-14
GO:0001775	cell activation	3.870953011190718e-18	3.890492107342442e-15	4.215932292813015e-18	5.075279825164735e-15
GO:0045321	leukocyte activation	5.550465331385479e-18	5.3249146038282686e-15	3.751830031245227e-18	4.9271760573971405e-15
GO:0046649	lymphocyte activation	6.380911116407543e-18	5.855456957517287e-15	6.467580687013067e-18	6.673619328899341e-15
GO:0009605	response to external stimulus	7.240724068238275e-18	6.36761342434321e-15	5.368686491351286e-18	5.9658496195431294e-15
GO:0030855	epithelial cell differentiation	1.8964190583681587e-17	1.6010328258367342e-14	6.263875332527131e-17	5.0271079474270514e-14
GO:0002252	immune effector process	3.795963399725792e-17	2.861342982664735e-14	6.984530789519383e-18	6.7265687856931344e-15
GO:0050776	regulation of immune response	7.982910151139474e-16	5.435074246772573e-13	6.310385083831185e-16	4.143628314592059e-13
GO:0006952	defense response	1.5577405496712855e-15	9.96784222835902e-13	2.823373027207332e-16	2.0393223375518557e-13
GO:0061436	establishment of skin barrier	1.5585084503735793e-15	9.96784222835902e-13	1.1265619795992468e-15	6.383362442460629e-13
GO:0098773	skin epidermis development	2.2684386217747754e-15	1.4081666338581884e-12	3.3883528590672428e-15	1.8128942741513109e-12
GO:0043207	response to external biotic stimulus	3.2366721051732065e-15	1.951805755765306e-12	4.737083074881804e-16	3.2586620047496447e-13
GO:0018149	peptide cross-linking	4.593533544364713e-15	2.693086638537823e-12	1.9273349738605855e-16	1.4653832122310536e-13
GO:0051707	response to other organism	6.04685044986801e-15	3.3832187278442863e-12	9.656283442934121e-16	5.812277942359429e-13
GO:0045109	intermediate filament organization	1.3780056662014121e-14	7.271046897711751e-12	1.148881513941412e-15	6.383362442460629e-13
GO:0098609	cell-cell adhesion	1.6027492111571715e-14	8.250640207483721e-12	5.309822485028404e-13	2.1915913033920092e-10
GO:0045104	intermediate filament cytoskeleton organization	1.815363772832045e-14	9.122635187950747e-12	4.6153484595732206e-15	2.299080132654991e-12
GO:0009607	response to biotic stimulus	2.2667913513117936e-14	1.1126255409485283e-11	3.9444443698451575e-15	2.0350515488136836e-12
GO:0045103	intermediate filament-based process	2.663246651145695e-14	1.2775109958882053e-11	7.0914077308761075e-15	3.414749202674542e-12
GO:0006959	humoral immune response	6.480784203536995e-14	3.039631808885596e-11	5.05151066621538e-17	4.292595475538081e-14
GO:0001906	cell killing	1.0566778410944728e-13	4.848313590030422e-11	6.748963793805427e-16	4.2389361289266607e-13
GO:0050778	positive regulation of immune response	1.653762007759314e-13	7.27172936161835e-11	2.2241055405659487e-13	1.0040446449692405e-10
GO:0002250	adaptive immune response	1.9439152568079003e-13	8.37311743065052e-11	7.08247850037107e-14	3.300434981172919e-11
GO:0030098	lymphocyte differentiation	4.076179855667591e-13	1.7206370406744034e-10	1.082794162601146e-12	4.345012353593376e-10
GO:0002682	regulation of immune system process	5.13988589250979e-13	2.127106502888463e-10	4.05953977516698e-13	1.724826811531241e-10
GO:0048856	anatomical structure development	5.675058647338905e-13	2.303418996360287e-10	1.285883089860209e-10	3.9523121523660807e-8
GO:0044419	biological process involved in interspecies interaction between organisms	6.925844741474575e-13	2.758054322897404e-10	2.6726601926150176e-13	1.1699772467429255e-10
GO:0002684	positive regulation of immune system process	1.7450767433207076e-12	6.820664767504973e-10	1.6561381849854762e-12	6.466100600081133e-10
GO:1903131	mononuclear cell differentiation	3.4367582103274143e-12	1.3188403415849166e-9	1.1179157162857873e-11	4.0373526093661205e-9
GO:0051239	regulation of multicellular organismal process	4.370586569583165e-12	1.618343862063549e-9	7.650394490881765e-11	2.4025564959843038e-8
GO:0030154	cell differentiation	8.111407099517962e-12	2.9517130731452775e-9	4.685005047274205e-10	1.2085639805879136e-7
GO:0048869	cellular developmental process	8.342628794432019e-12	2.984398700598003e-9	4.836397828178479e-10	1.2257298776467773e-7
GO:0002768	immune response-regulating cell surface receptor signaling pathway	9.873307104798985e-12	3.473100329231456e-9	1.4043421714105181e-11	4.948079758096669e-9
GO:0032502	developmental process	1.095717754717547e-11	3.7128621377775286e-9	1.610953559176402e-9	3.7535217928810163e-7
GO:0002697	regulation of immune effector process	1.2520341158174766e-11	4.065451084375948e-9	2.640935380951951e-12	1.0039724345587337e-9
GO:0009617	response to bacterium	1.4759360682610526e-11	4.719864644957239e-9	3.368156803394713e-12	1.2475998251753853e-9
GO:0050896	response to stimulus	1.5059964297725337e-11	4.744113529370014e-9	3.37011797381016e-10	9.54602436267874e-8
GO:0046651	lymphocyte proliferation	3.254746260805369e-11	9.813524940079731e-9	2.3043084776429714e-11	7.925723873340563e-9
GO:0050853	B cell receptor signaling pathway	3.7320279364947737e-11	1.0940025226063709e-8	3.8035833200453596e-11	1.2778270846831458e-8
GO:0002253	activation of immune response	5.679192235314138e-11	1.6197977205208134e-8	1.505069117803273e-10	4.437189484854302e-8
GO:0032943	mononuclear cell proliferation	6.480677389919638e-11	1.823749026555252e-8	4.990962674682786e-11	1.6386237908742617e-8
GO:0070661	leukocyte proliferation	8.713583791622418e-11	2.419853940868194e-8	5.219293998088247e-11	1.675509357697396e-8
GO:0002934	desmosome organization	1.0616984030859386e-10	2.910156687731405e-8	3.548253808606017e-10	9.857322022908178e-8
GO:0042113	B cell activation	2.9219307177901763e-10	7.906444837138392e-8	7.56830707477609e-10	1.853080745800261e-7
GO:0002521	leukocyte differentiation	3.0845602381356225e-10	8.240851694441828e-8	9.66547816586306e-10	2.2889753702304552e-7
GO:0002429	immune response-activating cell surface receptor signaling pathway	3.280550319844826e-10	8.654911881330611e-8	5.566924359505075e-10	1.3865480913346604e-7
GO:0042110	T cell activation	4.425409208207646e-10	1.1531195894867972e-7	4.604285459998265e-10	1.2085639805879136e-7
GO:0002443	leukocyte mediated immunity	5.743776020132881e-10	1.4783919107429827e-7	1.3572400854481947e-10	4.084727140496796e-8
GO:0048513	animal organ development	6.054605974862135e-10	1.5396206470534965e-7	1.669268182690093e-8	3.1729273904133e-6
GO:0140546	defense response to symbiont	8.917910546471284e-10	2.2407311904026538e-7	1.6958127655965017e-10	4.899542242361413e-8
GO:0030155	regulation of cell adhesion	1.0794582900919384e-9	2.680358431844759e-7	8.797301320554887e-9	1.7650807621768873e-6
GO:0098542	defense response to other organism	2.2414347757700564e-9	5.376143252644581e-7	4.590064621888935e-10	1.2085639805879136e-7
GO:0016477	cell migration	2.2415455616067616e-9	5.376143252644581e-7	2.528417107653818e-8	4.509322658909513e-6
GO:0048584	positive regulation of response to stimulus	2.532988832433626e-9	6.006883404195967e-7	2.136585631764889e-8	3.906976713477923e-6
GO:0031341	regulation of cell killing	2.566937818419541e-9	6.019754399506982e-7	3.7206583663405626e-10	1.0141251086821844e-7
GO:0002764	immune response-regulating signaling pathway	3.175545774860095e-9	7.285116209151866e-7	7.506760150337957e-9	1.5273613680532695e-6
GO:0006956	complement activation	3.2914777436544853e-9	7.469884866405544e-7	9.518915918423533e-10	2.2889753702304552e-7
GO:0050851	antigen receptor-mediated signaling pathway	4.4208923594522424e-9	9.619314859649385e-7	9.137457683267863e-9	1.8082152560614734e-6
GO:0050865	regulation of cell activation	5.305540319301275e-9	1.1426401426446194e-6	5.631169538187306e-9	1.162112502123626e-6
GO:0051249	regulation of lymphocyte activation	6.0412329614795314e-9	1.287942049343303e-6	5.122216667321514e-9	1.1162006202418463e-6
GO:0002698	negative regulation of immune effector process	8.621951256877467e-9	1.8017317151253052e-6	5.506759377352032e-9	1.1529079125395283e-6
GO:0032101	regulation of response to external stimulus	8.781716654764145e-9	1.8171265854456083e-6	1.748924984252563e-8	3.281164976949678e-6
GO:0048870	cell motility	1.1332730588271553e-8	2.3222195320005765e-6	1.0637299111522466e-7	1.65232712865649e-5
GO:0040011	locomotion	1.1997623004936424e-8	2.417800438728295e-6	5.111367358972255e-8	8.48721986985209e-6
GO:0002694	regulation of leukocyte activation	1.2028287978132805e-8	2.417800438728295e-6	1.0959278145423563e-8	2.1394288120106596e-6
GO:0002449	lymphocyte mediated immunity	1.8252410513704223e-8	3.6342960028513335e-6	5.176896134307331e-9	1.1162006202418463e-6
GO:0042742	defense response to bacterium	2.6032300866542837e-8	5.087386500826417e-6	2.6175388049165697e-9	5.817379319357656e-7
GO:0051240	positive regulation of multicellular organismal process	3.1481631746894246e-8	6.095883666513302e-6	2.78147661892287e-7	4.018121123695978e-5
GO:0022407	regulation of cell-cell adhesion	4.246057387289275e-8	8.14702611055704e-6	9.999265077916119e-8	1.5701019925606115e-5
GO:0050670	regulation of lymphocyte proliferation	4.525434468374077e-8	8.604848638693988e-6	2.1654486522737734e-8	3.910258903843366e-6
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5.987918689107668e-8	1.1284018915384505e-5	2.8865993308152786e-8	5.085343162555794e-6
GO:0032944	regulation of mononuclear cell proliferation	6.42298118261734e-8	1.1996764676134653e-5	3.095487519064928e-8	5.323501511953804e-6
GO:0007186	G protein-coupled receptor signaling pathway	7.515154218321476e-8	1.3792595211468964e-5	7.108399457494756e-8	1.1409770951441029e-5
GO:0006954	inflammatory response	7.607896795264491e-8	1.384243704834934e-5	2.991713786701858e-8	5.207023778637956e-6
GO:0031343	positive regulation of cell killing	7.928961966984126e-8	1.4303305237193758e-5	1.4681522017155137e-8	2.8278568941309748e-6
GO:0002920	regulation of humoral immune response	8.395754079359839e-8	1.5017015728726166e-5	1.85112094622604e-8	3.4283709216899197e-6
GO:0008283	cell population proliferation	1.0085476355992147e-7	1.788773646803111e-5	4.6693595410899663e-7	6.132142539144149e-5
GO:0002757	immune response-activating signaling pathway	1.1421047855836763e-7	2.0087719670440892e-5	3.475328244927766e-7	4.827364598675626e-5
GO:0048730	epidermis morphogenesis	1.21551338401294e-7	2.120216982064224e-5	1.1118886074874252e-7	1.7087598748684406e-5
