decile	n	median_length	median_logFC	pct_sig	pct_up	pct_down
1	1392	1312	-0.1591833567854909	55.02873563218391	2.083333333333333	6.10632183908046
2	1392	2051	-0.08779147123201991	48.99425287356322	2.8017241379310347	5.028735632183908
3	1392	2626.5	-0.06707876667708987	48.63505747126437	2.7298850574712645	4.022988505747127
4	1392	3200	-0.031210033614759172	46.839080459770116	1.9396551724137931	3.6637931034482754
5	1392	3772	0.022295007296226736	46.62356321839081	2.586206896551724	2.3706896551724137
6	1391	4386	0.05469266989785314	49.820273184759166	2.3005032350826746	2.156721782890007
7	1391	5032	0.08702404888471968	49.245147375988495	3.0913012221423437	1.9410496046010064
8	1391	5861	0.11138766937669377	50.035945363048164	2.659956865564342	2.372393961179008
9	1391	7149	0.18380488847196153	54.20560747663551	2.9475197699496762	1.8691588785046727
10	1391	10050	0.23710294976026708	56.86556434219986	3.5226455787203452	1.3659237958303379
