category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:0008544	1.0323851337099997e-54	1	66	304	epidermis development	BP	2.178952063208325e-50
GO:0043588	2.3148471300678856e-45	1	55	257	skin development	BP	2.4428581763606394e-41
GO:0001533	9.818927084128172e-45	1	35	49	cornified envelope	CC	6.90794250125364e-41
GO:0009913	7.948933036317833e-38	1	44	180	epidermal cell differentiation	BP	4.194254516613105e-34
GO:0030216	2.0704656157544754e-37	1	40	124	keratinocyte differentiation	BP	8.739849457222791e-34
GO:0031424	5.8286570078610525e-30	1	26	41	keratinization	BP	2.0503272467985894e-26
GO:0009888	8.43935813336271e-27	1	86	1681	tissue development	BP	2.5445870394679054e-23
GO:0060429	3.56885429992691e-25	1	66	1025	epithelium development	BP	9.41552985678217e-22
GO:0030280	5.6683421950145446e-24	1	20	31	structural constituent of skin epidermis	MF	1.3292892263108554e-20
GO:0030855	1.7780217434856703e-23	1	50	591	epithelial cell differentiation	BP	3.7526926918008554e-20
GO:0005576	4.087722512911942e-21	1	119	2990	extracellular region	CC	7.843224668865405e-18
GO:0045109	3.8600664907966463e-19	1	18	46	intermediate filament organization	BP	6.789213612896167e-16
GO:0045104	1.8123533703463534e-18	1	19	64	intermediate filament cytoskeleton organization	BP	2.942425402656164e-15
GO:0045103	2.2479195211125428e-18	1	19	65	intermediate filament-based process	BP	3.279148734691706e-15
GO:0045095	2.3304856922380172e-18	1	16	32	keratin filament	CC	3.279148734691706e-15
GO:0061436	1.88027721343458e-17	1	14	33	establishment of skin barrier	BP	2.4803206791718903e-14
GO:0071944	6.994845361835634e-17	1	124	4490	cell periphery	CC	8.684306247464875e-14
GO:0018149	7.88326519555639e-17	1	13	18	peptide cross-linking	BP	9.243566400967399e-14
GO:0005615	2.6096923531982104e-16	1	98	2426	extracellular space	CC	2.898956147715865e-13
GO:0005882	3.4214637597837425e-16	1	19	80	intermediate filament	CC	3.610670705699783e-13
GO:0098773	6.276813223262043e-16	1	20	119	skin epidermis development	BP	6.308496185246127e-13
GO:0030057	7.098238559095148e-16	1	11	27	desmosome	CC	6.8097919558301e-13
GO:0045111	3.473620704863783e-15	1	20	109	intermediate filament cytoskeleton	CC	3.187575591167609e-12
GO:0005886	4.043207423808863e-15	1	114	4122	plasma membrane	CC	3.5556639952879104e-12
GO:0031982	4.3244613151593634e-11	1	97	3273	vesicle	CC	3.650883220710141e-8
GO:0002934	4.6170536064327006e-11	1	7	14	desmosome organization	BP	3.747982054514176e-8
GO:0048856	2.6887753253454784e-10	1	114	4767	anatomical structure development	BP	2.1018256302496913e-7
