gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	length_bp
ARHGEF10L	-0.19797660756112245	9.360430232558139	0	1	1	4644
HIF3A	0.6431729808158314	3.3527367864693445	0	0.886634953180305	1	5856
RNF10	-0.08919434730873509	11.723520718816067	0	1	1	3814
RNF11	0.2399395688262803	10.505944186046511	0	1	1	3159
RNF13	0.24557799648082798	10.247502748414377	0	1	1	3086
GTF2IP1	-0.07145298805146941	12.1230866807611	0	1	1	2047
REM1	0.25447763426776104	4.213137843551797	0	0.9997850430304304	1	1745
RTN4RL2	-0.25973586488881006	5.24981310782241	0	0.9999983799000773	1	2224
C16orf13	-0.36185818797017316	9.360519450317124	0	0.9999999999992778	1	NA
FGFR1OP2	0.30592867925583545	8.835024524312896	0	1	1	3057
ATRX	0.6310961195249187	10.065543763213531	0	0.9998284853879822	1	11165
PMM2	-0.32995626884075235	9.945712684989429	0	1	1	5397
LOC100272146	0.20590011645165918	4.6634775898520084	0	0.9999999999686742	1	NA
ASS1	-0.7255953116705218	6.499474207188161	0	0.9022389599152717	1	4338
NCBP1	0.19223512699347062	9.735245877378436	0	1	1	4983
ZNF709	0.22081596087682653	5.666415010570825	0	0.9999999999275574	1	4897
ZNF708	0.3249559269035116	6.519088794926004	0	0.9999999991531412	1	10930
RBM14	-0.1129509552691631	10.418027061310783	0	1	1	5367
NCBP2	0.11383748163552411	10.871225158562368	0	1	1	4161
DISC1	0.10041216544578752	8.981909725158562	0	1	1	7084
CAMK1	0.49345772305886293	7.868134249471459	0	0.9999799061084441	1	1715
RPL37	-0.19281972755420054	13.633553488372094	0	1	1	7573
SPR	-0.25068400923048595	9.52537441860465	0	0.999999999999952	1	1437
ZNF700	0.10237213219165928	7.707196828752643	0	1	1	3113
ZNF707	-0.28043689584494913	8.281036152219873	0	1	1	3532
CAMK4	1.5606973442470533	3.9986594080338267	2.554245608411908	0.005476789144784774	0.3157843741803135	11942
ZNF704	0.3026228048309271	8.428115644820297	0	0.999988610841383	1	15071
RNF115	0.16557270206717656	8.929569978858352	0	1	1	9135
RNF112	0.08411839715185947	2.7802031712473574	0	0.9999999967600627	1	3192
ZC3H14	0.17202564798637282	9.83050422832981	0	1	1	18153
SPN	0.9948591304747967	7.169601057082453	0	0.5093901614393128	1	7252
NACAP1	0.10464523551760473	7.2867754756871035	0	1	1	NA
LRRTM1	-0.6171850529288951	2.084010147991543	0	0.8993572873551171	1	4023
GRIN1	-0.350089833290224	1.7587524312896405	0	0.9999689708195775	1	4775
DHX8	0.09283286924863716	10.329533403805497	0	1	1	6215
DHX9	0.25372593381421904	12.18643002114165	0	1	1	4493
LOC441204	0.05471100344624984	4.716084355179704	0	0.9999999933859129	1	NA
TCOF1	0.06263748363426584	11.014166384778013	0	1	1	5240
NUP98	0.23337503249574196	11.213577167019027	0	1	1	7023
XPC	0.024979690699836424	10.262527272727272	0	1	1	4048
SLC12A2	0.3122232696718617	9.224372093023256	0	0.9999999996003996	1	6874
GRINA	-0.09947705208587966	12.808572515856238	0	1	1	2455
LRRTM2	0.21877456415368118	4.072566384778012	0	0.9997723078708148	1	6064
NUP93	-0.23540984049838934	10.887289217758985	0	1	1	8257
HAP1	-0.2592288551389828	3.083853911205074	0	0.9990235622725367	1	5683
KLRA1	-0.307577656836976	4.0313505285412266	0	0.9999757423884905	1	NA
CAMKV	0.3036573428982407	1.733116913319239	0	0.999727382564725	1	3768
SPPL3	-0.2319873840607813	10.512276744186046	0	1	1	4135
GOLIM4	0.6656343752767724	9.222507822410147	0	0.9959582826101507	1	4942
ZNF646	0.0030716632483251466	9.33353403805497	0	1	1	8118
OPA3	-0.15542576270823302	9.566106553911204	0	1	1	7811
OPA1	0.2619180682616746	10.55988731501057	0	1	1	6429
RHEB	-0.0660098096350469	10.580289640591966	0	1	1	2046
RAB40C	-0.3656807311676594	8.934901902748415	0	1	1	3337
RAB40B	-0.20639715048680385	7.672748625792812	0	0.9999999999999999	1	3829
RAB40A	-0.3317583366295058	2.7385668076109937	0	0.9999999996936453	1	4454
COL7A1	-2.3472716669373095	6.695367441860465	-5.117146016596565	2.257743151303256e-7	2.3321492777990362e-5	9276
